goos: windows
goarch: amd64
cpu: AMD FX(tm)-8350 Eight-Core Processor
                                                                                     │ .\longbench_baseline_json.txt │
                                                                                     │            sec/op             │
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1Rules1Evals1Files-8                             16.43µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1Rules3Evals1Files-8                             25.65µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1Rules5Evals1Files-8                             33.96µ ± 53%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1Rules10Evals1Files-8                            56.93µ ±  3%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules1Evals1Files-8                            34.29µ ±  6%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules1Evals10Files-8                           15.71µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules3Evals1Files-8                            66.85µ ± 12%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules3Evals10Files-8                           21.10µ ±  4%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules5Evals1Files-8                            86.70µ ± 19%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules5Evals10Files-8                           26.64µ ±  5%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules10Evals1Files-8                           125.8µ ± 25%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10Rules10Evals10Files-8                          40.29µ ±  6%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules1Evals1Files-8                           61.47µ ± 13%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules1Evals10Files-8                          42.30µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules1Evals100Files-8                         26.54µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules3Evals1Files-8                           75.31µ ± 17%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules3Evals10Files-8                          64.33µ ±  4%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules3Evals100Files-8                         31.85µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules5Evals1Files-8                           108.1µ ± 12%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules5Evals10Files-8                          84.09µ ±  6%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules5Evals100Files-8                         36.49µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules10Evals1Files-8                          109.3µ ±  3%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules10Evals10Files-8                         122.4µ ±  5%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100Rules10Evals100Files-8                        48.67µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules1Evals1Files-8                          56.39µ ± 11%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules1Evals10Files-8                         72.52µ ±  5%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules1Evals100Files-8                        121.1µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules1Evals1000Files-8                       136.8µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules3Evals1Files-8                          75.55µ ± 19%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules3Evals10Files-8                         83.24µ ±  9%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules3Evals100Files-8                        124.8µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules3Evals1000Files-8                       136.5µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules5Evals1Files-8                          114.4µ ± 16%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules5Evals10Files-8                         102.4µ ±  7%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules5Evals100Files-8                        131.9µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules5Evals1000Files-8                       140.0µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules10Evals1Files-8                         132.5µ ± 19%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules10Evals10Files-8                        141.5µ ±  7%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules10Evals100Files-8                       163.5µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs1000Rules10Evals1000Files-8                      150.4µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules1Evals1Files-8                         88.63µ ± 16%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules1Evals10Files-8                        94.89µ ±  6%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules1Evals100Files-8                       249.5µ ±  3%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules1Evals1000Files-8                      956.1µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules3Evals1Files-8                         106.7µ ± 16%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules3Evals10Files-8                        109.4µ ±  5%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules3Evals100Files-8                       189.7µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules3Evals1000Files-8                      785.6µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs10000Rules5Evals1Files-8                         121.8µ ± 11%
